sexo;populacao(pessoas);UF
Homens;415332;Acre
Mulheres;414686;Acre
Mulheres;1630264;Alagoas
Homens;1497419;Alagoas
Homens;364516;Amapá
Mulheres;369243;Amapá
Homens;1965810;Amazonas
Mulheres;1975803;Amazonas
Mulheres;7305940;Bahia
Homens;6835686;Bahia
Mulheres;4537030;Ceará
Homens;4257927;Ceará
Mulheres;1474595;Distrito Federal
Homens;1342786;Distrito Federal
Mulheres;1963649;Espírito Santo
Homens;1870063;Espírito Santo
Mulheres;3589554;Goiás
Homens;3466941;Goiás
Mulheres;3447276;Maranhão
Homens;3329423;Maranhão
Mulheres;1400498;Mato Grosso do Sul
Homens;1356515;Mato Grosso do Sul
Homens;1841241;Mato Grosso
Mulheres;1817408;Mato Grosso
Mulheres;10524280;Minas Gerais
Homens;10015709;Minas Gerais
Mulheres;5867030;Paraná
Homens;5577350;Paraná
Mulheres;2055832;Paraíba
Homens;1918855;Paraíba
Homens;4051813;Pará
Mulheres;4068318;Pará
Mulheres;4737611;Pernambuco
Homens;4321320;Pernambuco
Mulheres;1670597;Piauí
Homens;1600602;Piauí
Mulheres;8477499;Rio de Janeiro
Homens;7577675;Rio de Janeiro
Mulheres;1703967;Rio Grande do Norte
Homens;1598762;Rio Grande do Norte
Mulheres;5627214;Rio Grande do Sul
Homens;5255751;Rio Grande do Sul
Homens;787987;Rondônia
Mulheres;793209;Rondônia
Homens;320392;Roraima
Mulheres;316315;Roraima
Mulheres;3859258;Santa Catarina
Homens;3751103;Santa Catarina
Mulheres;1152196;Sergipe
Homens;1057808;Sergipe
Mulheres;23014862;São Paulo
Homens;21396376;São Paulo
Homens;757269;Tocantins
Mulheres;754191;Tocantins
